,1,2,3,ms+-,5,6,7,8,9
0,balsamario,N,,ms+-,,,Piccoli vasi di svariate fogge e materiali (soprattutto paste vitree) destinati presso i popoli antichi a contenere sostanze aromatiche,,
1,lacrimatoio,N,,ms+-,,,"Piccolo recipiente di terracotta, vetro o alabastro, a forma di fiala con base allargata, usato per conservare unguenti e profumi.",,
2,unguentario,N,,ms+-,,,"A) Recipiente che contiene unguenti. 
B) Forma chiusa, orlo orizzontale a disco; alto collo cilindrico; corpo ovoidale desinente a punta; due anse ad occhiello verticali, due anse configurate a disco piatto o due anse a protuberanza attorcigliata; stelo cilindrico con alto piede che si allarga verso la base.",,
